epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1090.23,1.13588,2.75996,1.46944,0.63292,0.27854,0.29087,0.16288,1.37376,4.39032,1.75024,0.000332011,0.000332011,0.000332011
2,2043.41,1.19791,2.13621,1.49636,0.35539,0.36928,0.34099,0.17878,1.48334,3.74842,1.88035,0.000643388,0.000643388,0.000643388
3,2949.37,1.23795,1.99037,1.51145,0.52246,0.3389,0.37067,0.20825,1.45064,3.26756,1.86342,0.000932765,0.000932765,0.000932765
