epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,856.68,1.13588,2.75996,1.46944,0.63292,0.27854,0.29087,0.16288,1.37376,4.39032,1.75024,0.000332011,0.000332011,0.000332011
2,1676.03,1.19791,2.13621,1.49636,0.35539,0.36928,0.34099,0.17878,1.48334,3.74842,1.88035,0.000643388,0.000643388,0.000643388
3,2480.31,1.23795,1.99037,1.51145,0.52246,0.3389,0.37067,0.20825,1.45064,3.26756,1.86342,0.000932765,0.000932765,0.000932765
4,3269.33,1.20998,1.78851,1.50011,0.35719,0.42496,0.30747,0.16406,1.48377,3.22231,1.8393,0.000901,0.000901,0.000901
5,4067.45,1.1686,1.64153,1.45559,0.56184,0.42236,0.44115,0.26797,1.45996,2.65021,1.81335,0.000868,0.000868,0.000868
6,4854.6,1.17055,1.54977,1.44071,0.45202,0.4444,0.39584,0.22779,1.4772,2.5064,1.86268,0.000835,0.000835,0.000835
7,5642.45,1.13065,1.45253,1.42335,0.50237,0.48593,0.43873,0.25922,1.33632,2.51469,1.69883,0.000802,0.000802,0.000802
8,6427.97,1.11256,1.37451,1.41135,0.60872,0.53297,0.57738,0.35059,1.38898,1.94777,1.74014,0.000769,0.000769,0.000769
9,7227.69,1.08317,1.29833,1.38204,0.64551,0.48347,0.53538,0.33954,1.3021,2.33672,1.65215,0.000736,0.000736,0.000736
10,8021.19,1.05333,1.24315,1.37706,0.64031,0.49864,0.54011,0.34661,1.24058,2.14313,1.61026,0.000703,0.000703,0.000703
11,8813.83,1.04039,1.18779,1.35818,0.55652,0.56441,0.57896,0.36222,1.32147,1.89321,1.66038,0.00067,0.00067,0.00067
12,9616.76,1.0361,1.15293,1.34781,0.66672,0.5426,0.60339,0.37961,1.26935,1.78003,1.62469,0.000637,0.000637,0.000637
13,10411.1,1.01611,1.10477,1.33432,0.62498,0.53253,0.60056,0.39535,1.21062,1.93672,1.58946,0.000604,0.000604,0.000604
14,11207.6,0.98461,1.06946,1.32303,0.62849,0.49527,0.5705,0.38182,1.23377,1.95368,1.58911,0.000571,0.000571,0.000571
15,11993.4,0.98661,1.0491,1.3236,0.67778,0.53075,0.60824,0.39993,1.15581,1.70854,1.52785,0.000538,0.000538,0.000538
16,12787,0.9535,1.00356,1.28701,0.74753,0.5481,0.63731,0.41087,1.30376,1.89336,1.67842,0.000505,0.000505,0.000505
17,13576.7,0.95129,0.94914,1.28107,0.77038,0.53683,0.63676,0.41972,1.2329,1.87558,1.57705,0.000472,0.000472,0.000472
18,14366.8,0.95572,0.94638,1.29196,0.69924,0.58457,0.64736,0.43286,1.23083,1.5866,1.60685,0.000439,0.000439,0.000439
19,15167.5,0.94187,0.9186,1.27966,0.73428,0.52639,0.61942,0.41176,1.24539,1.96726,1.59617,0.000406,0.000406,0.000406
20,15954.1,0.90985,0.86935,1.26186,0.77078,0.59239,0.6929,0.45486,1.2125,1.59449,1.5667,0.000373,0.000373,0.000373
21,16942.8,0.78994,0.75197,1.22716,0.72314,0.5901,0.66276,0.45113,1.14758,1.51433,1.52013,0.00034,0.00034,0.00034
22,18051.2,0.75663,0.68267,1.19721,0.7323,0.57915,0.66572,0.44729,1.15392,1.72264,1.52101,0.000307,0.000307,0.000307
23,19013.6,0.73351,0.63512,1.1854,0.71418,0.63124,0.6931,0.48702,1.09842,1.52408,1.46535,0.000274,0.000274,0.000274
24,19790.3,0.7173,0.61647,1.16508,0.735,0.59679,0.68644,0.48257,1.08352,1.66468,1.46295,0.000241,0.000241,0.000241
25,20563.5,0.68951,0.5845,1.13408,0.79059,0.62321,0.72681,0.49947,1.09659,1.369,1.46549,0.000208,0.000208,0.000208
26,21332.3,0.66904,0.56148,1.13559,0.7849,0.62492,0.721,0.50557,1.08468,1.43138,1.46373,0.000175,0.000175,0.000175
27,22101.3,0.66165,0.52212,1.12098,0.83168,0.60099,0.7189,0.50842,1.07369,1.42821,1.43852,0.000142,0.000142,0.000142
28,22871.2,0.65071,0.51338,1.11068,0.74942,0.64537,0.72711,0.51421,1.06465,1.42305,1.43284,0.000109,0.000109,0.000109
29,23646.5,0.63381,0.4987,1.09685,0.78997,0.61138,0.73326,0.51654,1.08898,1.46645,1.45176,7.6e-05,7.6e-05,7.6e-05
30,24420.4,0.62204,0.48744,1.08409,0.82131,0.60542,0.73641,0.52322,1.06291,1.4387,1.43658,4.3e-05,4.3e-05,4.3e-05
